id,cip_prefix,completions
102845,52,82
102845,99,1223
103501,51,131
103501,52,26
103501,99,157
103741,12,126
103741,99,126
103893,01,46
103893,46,24
103893,47,24
103893,51,630
103893,99,724
103909,01,34
103909,51,297
103909,99,331
103927,01,30
103927,51,291
103927,99,321
103954,12,16
103954,99,16
103963,15,22
103963,47,144
103963,48,78
103963,52,2
103963,99,246
104090,44,4
104090,51,435
104090,52,1
104090,99,440
104151,01,3
104151,03,246
104151,04,381
104151,05,87
104151,09,814
104151,10,97
104151,11,2059
104151,13,1032
104151,14,2740
104151,15,417
104151,16,128
104151,19,186
104151,22,549
104151,23,239
104151,24,94
104151,26,1469
104151,27,280
104151,30,737
104151,31,369
104151,38,78
104151,40,238
104151,41,43
104151,42,1051
104151,43,398
104151,44,640
104151,45,980
104151,49,100
104151,50,815
104151,51,1350
104151,52,4721
104151,54,113
104151,99,22454
104160,01,16
104160,03,1
104160,05,1
104160,09,1
104160,10,1
104160,11,41
104160,12,13
104160,13,60
104160,14,30
104160,15,36
104160,16,1
104160,19,22
104160,22,7
104160,23,6
104160,24,1053
104160,26,12
104160,27,17
104160,31,13
104160,38,1
104160,40,16
104160,43,95
104160,45,85
104160,46,119
104160,47,23
104160,48,17
104160,50,15
104160,51,129
104160,52,60
104160,54,4
104160,99,1895
104179,01,199
104179,03,174
104179,04,196
104179,05,75
104179,09,327
104179,11,631
104179,13,511
104179,14,818
104179,15,45
104179,16,204
104179,19,145
104179,22,449
104179,23,131
104179,24,47
104179,25,73
104179,26,891
104179,27,193
104179,29,297
104179,30,569
104179,31,29
104179,38,41
104179,40,409
104179,41,42
104179,42,645
104179,43,178
104179,44,81
104179,45,599
104179,50,300
104179,51,1616
104179,52,1567
104179,54,72
104179,99,11554
104346,01,7
104346,09,6
104346,10,6
104346,11,16
104346,12,63
104346,13,89
104346,15,62
104346,19,35
104346,24,444
104346,30,66
104346,31,5
104346,40,2
104346,43,33
104346,46,125
104346,47,11
104346,48,28
104346,49,22
104346,50,22
104346,51,165
104346,52,36
104346,99,1243
104391,12,36
104391,51,4
104391,99,40
104425,01,1
104425,09,2
104425,10,13
104425,11,56
104425,12,19
104425,13,25
104425,14,5
104425,15,2
104425,24,352
104425,26,8
104425,29,977
104425,31,9
104425,40,1
104425,43,52
104425,44,29
104425,45,17
104425,46,9
104425,47,77
104425,48,23
104425,49,11
104425,50,15
104425,51,248
104425,52,36
104425,99,1987
104443,12,23
104443,99,23
104568,12,323
104568,99,323
104577,10,5
104577,11,6
104577,12,36
104577,13,32
104577,15,17
104577,16,2
104577,23,3
104577,24,206
104577,26,1
104577,27,2
104577,30,27
104577,31,10
104577,40,2
104577,42,7
104577,43,12
104577,45,5
104577,46,66
104577,47,283
104577,48,33
104577,50,18
104577,51,206
104577,52,133
104577,99,1112
104586,14,245
104586,26,3
104586,40,19
104586,42,13
104586,43,50
104586,45,95
104586,49,178
104586,50,1
104586,52,23
104586,99,627
104665,04,2
104665,99,2
104708,03,2
104708,09,27
104708,10,20
104708,11,192
104708,13,111
104708,14,18
104708,15,43
104708,16,13
104708,19,3
104708,23,9
104708,24,459
104708,26,11
104708,27,5
104708,30,210
104708,31,31
104708,38,3
104708,40,50
104708,41,2
104708,42,57
104708,43,119
104708,44,25
104708,45,19
104708,47,173
104708,50,748
104708,51,693
104708,52,330
104708,54,7
104708,99,3380
104717,03,14
104717,09,324
104717,11,812
104717,13,7896
104717,14,121
104717,15,16
104717,16,7
104717,19,36
104717,23,73
104717,26,249
104717,27,30
104717,31,259
104717,39,419
104717,40,2
104717,42,1008
104717,43,709
104717,44,2009
104717,45,137
104717,50,249
104717,51,8225
104717,52,4518
104717,54,126
104717,99,27239
105145,11,94
105145,12,7
105145,13,2
105145,14,1
105145,15,7
105145,19,1
105145,22,3
105145,23,1
105145,24,71
105145,26,3
105145,27,1
105145,30,13
105145,40,7
105145,42,2
105145,43,1
105145,44,2
105145,45,3
105145,46,4
105145,47,564
105145,50,90
105145,51,922
105145,52,123
105145,99,1922
105154,01,47
105154,03,5
105154,05,4
105154,09,29
105154,10,28
105154,11,630
105154,12,37
105154,13,84
105154,14,10
105154,15,131
105154,16,8
105154,19,4
105154,22,1
105154,23,12
105154,24,458
105154,26,20
105154,27,2
105154,30,137
105154,31,22
105154,38,1
105154,40,63
105154,41,1
105154,42,27
105154,43,227
105154,44,29
105154,45,22
105154,46,395
105154,47,610
105154,48,121
105154,50,789
105154,51,679
105154,52,539
105154,54,2
105154,99,5174
105206,11,25
105206,12,3
105206,13,14
105206,22,20
105206,23,8
105206,24,99
105206,26,5
105206,27,2
105206,30,3
105206,40,1
105206,43,42
105206,45,18
105206,46,15
105206,47,147
105206,48,58
105206,50,82
105206,51,373
105206,52,51
105206,54,2
105206,99,968
105215,47,463
105215,99,463
105297,03,1
105297,05,1
105297,11,1
105297,13,14
105297,14,7
105297,24,1
105297,26,5
105297,27,5
105297,40,1
105297,42,5
105297,45,7
105297,50,2
105297,51,46
105297,52,17
105297,99,113
105330,03,241
105330,04,3
105330,05,8
105330,09,274
105330,11,490
105330,13,1043
105330,14,244
105330,16,60
105330,23,137
105330,24,340
105330,26,471
105330,27,53
105330,30,168
105330,31,241
105330,38,11
105330,40,117
105330,41,42
105330,42,461
105330,43,28
105330,44,246
105330,45,444
105330,50,153
105330,51,1251
105330,52,1110
105330,54,29
105330,99,7665
105349,10,41
105349,11,10
105349,12,95
105349,13,44
105349,15,3
105349,24,59
105349,43,17
105349,46,15
105349,47,47
105349,48,188
105349,51,139
105349,52,37
105349,99,695
105428,05,17
105428,09,7
105428,10,10
105428,11,136
105428,13,25
105428,14,16
105428,16,12
105428,19,13
105428,22,70
105428,23,3
105428,24,278
105428,26,12
105428,30,70
105428,31,2
105428,40,30
105428,42,18
105428,43,84
105428,44,17
105428,45,11
105428,47,7
105428,50,431
105428,51,581
105428,52,317
105428,54,2
105428,99,2169
105525,01,43
105525,11,287
105525,12,13
105525,13,148
105525,15,116
105525,16,14
105525,22,38
105525,24,1877
105525,31,10
105525,43,82
105525,44,5
105525,45,8
105525,46,24
105525,47,489
105525,48,43
105525,49,73
105525,50,74
105525,51,728
105525,52,553
105525,99,4625
105534,01,76
105534,51,1077
105534,52,24
105534,99,1177
105543,01,53
105543,51,356
105543,99,409
105589,01,15
105589,03,40
105589,13,58
105589,24,8
105589,30,21
105589,31,28
105589,42,32
105589,44,29
105589,45,12
105589,50,13
105589,51,37
105589,52,13
105589,99,306
105659,15,345
105659,46,88
105659,47,102
105659,48,258
105659,99,793
105668,03,3
105668,09,4
105668,11,90
105668,13,68
105668,15,7
105668,16,10
105668,19,22
105668,22,60
105668,23,1
105668,24,428
105668,30,156
105668,40,29
105668,42,16
105668,43,1099
105668,44,26
105668,45,3
105668,46,156
105668,47,28
105668,49,1
105668,50,348
105668,51,263
105668,52,1367
105668,54,2
105668,99,4187
105677,47,44
105677,99,44
105747,01,6
105747,05,1
105747,09,8
105747,10,4
105747,11,55
105747,12,35
105747,13,4
105747,14,1
105747,15,9
105747,23,3
105747,24,159
105747,26,3
105747,27,1
105747,30,42
105747,31,12
105747,38,4
105747,40,25
105747,42,21
105747,43,83
105747,45,15
105747,50,375
105747,51,114
105747,52,255
105747,54,4
105747,99,1239
105792,05,7
105792,09,4
105792,10,1
105792,11,62
105792,13,15
105792,15,1
105792,16,2
105792,24,244
105792,30,96
105792,31,2
105792,40,17
105792,42,8
105792,43,20
105792,44,1
105792,45,3
105792,46,63
105792,47,1
105792,50,246
105792,52,85
105792,54,1
105792,99,879
105899,09,9
105899,11,1
105899,13,34
105899,19,9
105899,24,5
105899,26,11
105899,30,13
105899,39,21
105899,42,29
105899,45,14
105899,50,7
105899,52,52
105899,99,205
106041,47,984
106041,48,174
106041,99,1158
106148,01,66
106148,11,61
106148,12,56
106148,13,32
106148,14,3
106148,15,9
106148,22,34
106148,24,654
106148,31,4
106148,43,91
106148,46,79
106148,47,155
106148,48,94
106148,49,52
106148,50,30
106148,51,274
106148,52,122
106148,99,1816
106245,09,52
106245,11,138
106245,13,104
106245,14,20
106245,15,63
106245,16,40
106245,22,130
106245,23,54
106245,24,156
106245,26,63
106245,27,16
106245,30,26
106245,31,8
106245,38,5
106245,40,28
106245,42,52
106245,43,131
106245,44,247
106245,45,36
106245,46,28
106245,50,58
106245,51,364
106245,52,259
106245,54,29
106245,99,2107
106263,26,26
106263,30,20
106263,44,12
106263,45,4
106263,51,990
106263,99,1052
106306,13,1
106306,30,5
106306,38,4
106306,43,3
106306,44,6
106306,52,5
106306,99,24
106315,12,48
106315,99,48
106324,12,13
106324,99,13
106342,11,12
106342,13,5
106342,23,2
106342,26,15
106342,27,5
106342,31,14
106342,40,2
106342,42,16
106342,45,12
106342,50,9
106342,52,24
106342,54,2
106342,99,118
106351,12,37
106351,99,37
106397,01,268
106397,03,20
106397,04,143
106397,05,1
106397,09,313
106397,11,128
106397,13,527
106397,14,590
106397,15,323
106397,16,55
106397,19,163
106397,22,139
106397,23,67
106397,26,227
106397,27,50
106397,30,49
106397,31,220
106397,38,11
106397,40,136
106397,42,237
106397,43,80
106397,44,109
106397,45,241
106397,50,146
106397,51,576
106397,52,1750
106397,54,70
106397,99,6639
106412,01,18
106412,03,6
106412,09,10
106412,11,11
106412,13,50
106412,14,1
106412,15,26
106412,19,11
106412,23,4
106412,24,36
106412,26,33
106412,27,1
106412,40,8
106412,42,10
106412,43,35
106412,44,18
106412,45,13
106412,50,11
106412,51,35
106412,52,53
106412,99,390
106449,01,40
106449,11,6
106449,13,85
106449,15,53
106449,24,249
106449,30,7
106449,43,38
106449,47,125
106449,48,70
106449,50,14
106449,51,229
106449,52,61
106449,99,977
106458,01,89
106458,03,18
106458,05,8
106458,09,250
106458,11,67
106458,13,1621
106458,14,49
106458,15,151
106458,16,4
106458,19,46
106458,23,20
106458,24,616
106458,26,79
106458,27,15
106458,30,4
106458,31,235
106458,38,2
106458,40,11
106458,42,186
106458,43,34
106458,44,135
106458,45,111
106458,50,76
106458,51,686
106458,52,353
106458,54,15
106458,99,4881
106467,01,50
106467,03,15
106467,09,35
106467,11,348
106467,12,19
106467,13,315
